t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0473,1783994843.8138678,0.0,0.0,0.0,0.0,0.0,0.0
0.2973,1783994844.104046,0.0,0.0,0.0,0.0,0.0,0.0
0.5474,1783994844.2659595,0.0,0.0,0.0,0.0,0.0,0.0
0.7975,1783994844.5133867,0.0,0.0,0.0,0.0,0.0,0.0
1.0475,1783994844.7730207,0.0,0.0,0.0,0.0,0.0,0.0
1.2976,1783994845.0959954,0.0,0.0,0.0,0.0,0.0,0.0
1.5477,1783994845.3580124,0.0,0.0,0.0,0.0,0.0,0.0
1.7977,1783994845.560633,0.0,0.0,0.0,0.0,0.0,0.0
2.0478,1783994845.751237,0.0,0.0,0.0,0.0,0.0,0.0
2.2979,1783994846.0549607,0.0,0.0,0.0,0.0,0.0,0.0
2.5503,1783994846.2706287,0.0,0.0,0.0,0.0,0.0,0.0
2.8004,1783994846.7627192,0.0,0.0,0.0,0.0,0.0,0.0
3.1234,1783994846.9166524,0.0,0.0,0.0,0.0,0.0,0.0
3.3734,1783994847.1454005,0.0,0.0,0.0,0.0,0.0,0.0
3.6235,1783994847.3523393,0.0,0.03962305228128016,1.0,119.0,119.0,0.0
3.8736,1783994847.5651808,0.0,0.03962305228128016,1.0,119.0,119.0,0.0
4.1237,1783994847.842364,0.0,0.03962305228128016,1.0,119.0,119.0,0.0
4.3738,1783994848.1301515,0.0,0.05557801760333403,2.0,118.0,118.0,0.0
4.6238,1783994848.3113282,0.0,0.05557801760333403,2.0,118.0,118.0,0.0
4.8739,1783994848.619944,0.0,0.07150188162846394,2.0,118.0,118.0,0.0
5.124,1783994848.9165914,0.0,0.08742574565359373,2.0,118.0,118.0,0.0
5.3741,1783994849.1386654,0.0,0.08742574565359373,2.0,118.0,118.0,0.0
5.6241,1783994849.4098353,0.0,0.08742574565359373,2.0,118.0,118.0,0.0
5.8742,1783994849.6188436,0.0,0.10334960967872364,3.0,117.0,117.0,0.0
6.1243,1783994849.8143904,0.0,0.10334960967872364,3.0,117.0,117.0,0.0
6.3744,1783994850.1270638,0.0,0.11927347370385344,3.0,117.0,117.0,0.0
6.6244,1783994850.341053,0.0,0.11927347370385344,3.0,117.0,117.0,0.0
6.8745,1783994850.5997534,0.0,0.13519733772898335,3.0,117.0,117.0,0.0
7.1246,1783994850.81269,0.0,0.13519733772898335,3.0,117.0,117.0,0.0
7.3747,1783994851.1557384,0.0,0.15112120175411314,4.0,116.0,116.0,0.0
7.6248,1783994851.4183137,0.0,0.15112120175411314,4.0,116.0,116.0,0.0
7.8748,1783994851.5579534,0.0,0.15112120175411314,4.0,116.0,116.0,0.0
8.1249,1783994851.9344037,0.0,0.16704506577924294,4.0,116.0,116.0,0.0
8.375,1783994852.1019576,0.0,0.16704506577924294,4.0,116.0,116.0,0.0
8.6251,1783994852.3494039,0.0,0.18296892980437285,4.0,116.0,116.0,0.0
8.8751,1783994852.608979,0.0,0.18296892980437285,4.0,116.0,116.0,0.0
9.1252,1783994852.852572,0.0,0.19892389512642672,5.0,115.0,115.0,0.0
9.3753,1783994853.0982187,0.0,0.19892389512642672,5.0,115.0,115.0,0.0
9.6254,1783994853.3946135,0.0,0.21484775915155663,5.0,115.0,115.0,0.0
9.8754,1783994853.566994,0.0,0.21484775915155663,5.0,115.0,115.0,0.0
10.1255,1783994853.922826,0.0,0.23077162317668642,5.0,115.0,115.0,0.0
10.3756,1783994854.1236753,0.0,0.23077162317668642,5.0,115.0,115.0,0.0
10.6256,1783994854.3292766,0.0,0.23077162317668642,5.0,115.0,115.0,0.0
10.8757,1783994854.5830357,0.0,0.2467265884987404,6.0,114.0,114.0,0.0
11.1258,1783994854.8479555,0.0,0.2467265884987404,6.0,114.0,114.0,0.0
11.3758,1783994855.108899,0.0,0.2626504525238702,6.0,114.0,114.0,0.0
11.6259,1783994855.4041197,0.0,0.2626504525238702,6.0,114.0,114.0,0.0
11.876,1783994855.6525197,0.0,0.27854321525207604,6.0,114.0,114.0,0.0
12.1261,1783994855.8494127,0.0,0.27854321525207604,6.0,114.0,114.0,0.0
12.3762,1783994856.1486256,0.0,0.294529281871054,7.0,113.0,113.0,0.0
12.6262,1783994856.3806663,0.0,0.294529281871054,7.0,113.0,113.0,0.0
12.8763,1783994856.6446087,0.0,0.3104220445992598,7.0,113.0,113.0,0.0
13.1264,1783994856.8212655,0.0,0.3104220445992598,7.0,113.0,113.0,0.0
13.3764,1783994857.1356251,0.0,0.3263459086243896,7.0,113.0,113.0,0.0
13.6265,1783994857.3174233,0.0,0.3263459086243896,7.0,113.0,113.0,0.0
13.8766,1783994857.5784392,0.0,0.3263459086243896,7.0,113.0,113.0,0.0
14.1267,1783994857.8181973,0.0,0.3423008739464436,9.0,111.0,111.0,0.0
14.3767,1783994858.1015804,0.0,0.3423008739464436,9.0,111.0,111.0,0.0
14.6268,1783994858.3823,0.0,0.35825583926849747,11.0,109.0,109.0,0.0
14.8769,1783994858.627586,0.0,0.35825583926849747,11.0,109.0,109.0,0.0
15.127,1783994858.8432753,0.0,0.37421080459055145,11.0,109.0,109.0,0.0
15.377,1783994859.0968611,0.0,0.37421080459055145,11.0,109.0,109.0,0.0
15.6271,1783994859.3796015,0.0,0.39013466861568125,11.0,109.0,109.0,0.0
15.8772,1783994859.612257,0.0,0.39013466861568125,11.0,109.0,109.0,0.0
16.1273,1783994859.8847558,0.0,0.39013466861568125,11.0,109.0,109.0,0.0
16.3774,1783994860.0617795,0.0,0.40605853264081115,21.0,99.0,99.0,0.0
16.6274,1783994860.40652,0.0,0.42223120704133366,21.0,99.0,99.0,0.0
16.8775,1783994860.6474369,0.0,0.42223120704133366,21.0,99.0,99.0,0.0
17.1276,1783994860.8904846,0.0,0.42223120704133366,21.0,99.0,99.0,0.0
17.3777,1783994861.0646706,0.0,0.43815507106646345,21.0,99.0,99.0,0.0
17.6277,1783994861.400602,0.0,0.43815507106646345,21.0,99.0,99.0,0.0
17.8778,1783994861.578472,0.0,0.45407893509159336,22.0,98.0,98.0,0.0
18.1279,1783994861.8545296,0.0,0.45407893509159336,22.0,98.0,98.0,0.0
