rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.0,0.05522631900385022,2.182285964023322,66.55532576190308,0.12597463756923633,512,1,
long-0001,long,25000,512,0.0,0.05965421302244067,12.098400382790715,68.50533389486372,0.11038538847763799,512,1,
long-0002,long,25000,512,0.0,0.0608598398976028,5.419991847127676,67.83090972574428,0.12213486864699923,512,1,
long-0003,long,25000,512,0.0,0.06200822303071618,10.413380667567253,68.30905103171244,0.11329876783590057,512,1,
long-0004,long,25000,512,0.0,0.06313679600134492,8.729458532761782,68.18237747997046,0.11634622103171952,512,1,
long-0005,long,25000,512,0.0,0.0642742719501257,14.173529166728258,68.64627665001899,0.10660028861700731,512,1,
long-0006,long,25000,512,0.0,0.06539487279951572,7.069320828188211,68.00502542080358,0.11924795419298506,512,1,
long-0007,long,25000,512,0.0,0.06658474681898952,3.786281823180616,67.4702845979482,0.12462622852205005,512,1,
long-0008,long,25000,512,0.0,0.0677751419134438,35.79620189871639,73.1754836468026,0.07314927935046225,512,1,
long-0009,long,25000,512,0.0,0.06890171160921454,15.886873126029968,68.77595667820424,0.10350114198077157,512,1,
long-0010,long,25000,512,0.0,0.0700863879173994,29.817368797026575,69.65717524988577,0.07796439618954833,512,1,
long-0011,long,25000,512,0.0,0.07121658371761441,27.10412001190707,69.49119761027396,0.0829492712296808,512,1,
long-0012,long,25000,512,0.0,0.07240619696676731,23.023809665814042,69.2389480699785,0.0904405839611829,512,1,
long-0013,long,25000,512,0.0,0.07352545578032732,31.725406932178885,69.75598517386243,0.07442383217550595,512,1,
long-0014,long,25000,512,0.0,0.07464627781882882,21.211095467209816,69.12932523107156,0.09377344376489578,512,1,
long-0015,long,25000,512,0.0,0.0758125870488584,19.416687330696732,69.01415296876803,0.09705961964397515,512,1,
long-0016,long,25000,512,0.0,0.07693143468350172,53.759741286281496,76.52614264935255,0.044552644546127305,512,1,
long-0017,long,25000,512,0.0,0.07800580793991685,17.67397660575807,68.90674490574747,0.10025982054792447,512,1,
long-0018,long,25000,512,0.0,0.07916210172697902,25.32654405804351,69.4097470799461,0.08626849906438863,512,1,
long-0019,long,25000,512,0.0,0.08028031000867486,34.215674770995975,69.91650517797098,0.06986463876120352,512,1,
short-0000,short,512,256,0.0,0.08145876694470644,27.938052895944566,51.31063321093097,0.09165717770582905,256,1,
short-0001,short,512,256,0.0,0.08159871399402618,14.15668788086623,49.21787419402972,0.13749484828691563,256,1,
short-0002,short,512,256,0.0,0.08173196204006672,27.092442930676043,51.20044575072825,0.0945411875296165,256,1,
short-0003,short,512,256,0.0,0.0818531010299921,27.09241785481572,51.20258473372087,0.09454967403492215,256,1,
short-0004,short,512,256,0.0,0.08264720859006047,27.93437401112169,51.30957719543949,0.09166746346791294,256,1,
short-0005,short,512,256,0.0,0.08280138671398163,27.089812381193042,51.1938835689798,0.09452576936386964,256,1,
short-0006,short,512,256,0.0,0.08293615700677037,12.075586101971567,48.94511409383267,0.14458638428180826,256,1,
short-0007,short,512,256,0.0,0.08306899387389421,27.08965374575928,51.194171715993434,0.09452752145189865,256,1,
short-0008,short,512,256,0.0,0.08318924205377698,14.155941233970225,49.21710260072723,0.1374947504578706,256,1,
short-0009,short,512,256,0.0,0.08331421669572592,53.856134426314384,75.81047334196046,0.08609544672802383,256,1,
short-0010,short,512,256,0.0,0.08342838659882545,27.49374497216195,51.26159644126892,0.09320726066316459,256,1,
short-0011,short,512,256,0.0,0.08355005690827966,27.494623214937747,51.25615450972691,0.09318247566583987,256,1,
short-0012,short,512,256,0.0,0.08372163074091077,12.452761489897966,48.98921192018315,0.14328019776582426,256,1,
short-0013,short,512,256,0.0,0.08385215466842055,27.09060260327533,51.19864751538262,0.09454135259649918,256,1,
short-0014,short,512,256,0.0,0.08396645402535796,27.49530439497903,51.26150911161676,0.09320080281034404,256,1,
short-0015,short,512,256,0.0,0.08408191474154592,14.154413268901408,49.21496768621728,0.1374923702639838,256,1,
short-0016,short,512,256,0.0,0.08420717064291239,67.44636069610715,75.85481792036444,0.03297434205591094,256,1,
short-0017,short,512,256,0.0,0.08432401390746236,14.152634832076728,49.207081568893045,0.13746841857575026,256,1,
short-0018,short,512,256,0.0,0.08444294100627303,27.08852829784155,51.19244760973379,0.09452517377212644,256,1,
short-0019,short,512,256,0.0,0.08456116588786244,27.9352176329121,51.307786971796304,0.091657134662291,256,1,
short-0020,short,512,256,0.0,0.08473244961351156,27.089912950992584,51.197608274407685,0.09453998166045137,256,1,
short-0021,short,512,256,0.0,0.08486488601192832,67.00674062082544,75.85374959558249,0.034694152842184495,256,1,
short-0022,short,512,256,0.0,0.08499076263979077,14.15433397097513,49.215505914296955,0.13749479193459538,256,1,
short-0023,short,512,256,0.0,0.08511228300631046,27.492425485979766,51.25871177390218,0.09320112269773495,256,1,
short-0024,short,512,256,0.0,0.08524008188396692,67.00655297283083,75.85565189877525,0.0347023487291938,256,1,
short-0025,short,512,256,0.0,0.08535917894914746,35.75880496902391,60.77205052599311,0.09809115904693802,256,1,
short-0026,short,512,256,0.0,0.08548414381220937,53.748877990059555,75.5024776388891,0.08530823391697863,256,1,
short-0027,short,512,256,0.0,0.08565288363024592,67.45045061502606,75.85491741029546,0.03295869331478196,256,1,
short-0028,short,512,256,0.0,0.08579826960340142,27.089617864228785,51.19127412000671,0.09451629904226637,256,1,
short-0029,short,512,256,0.0,0.08592724101617932,14.152971090748906,49.21333841001615,0.13749163654614605,256,1,
short-0030,short,512,256,0.0,0.08605926670134068,27.49156364891678,51.25386458495632,0.09318549386682172,256,1,
short-0031,short,512,256,0.0,0.08619093196466565,53.75598046462983,75.20551730599254,0.08411583075044202,256,1,
short-0032,short,512,256,0.0,0.08631436480209231,12.450318078044802,48.986384047195315,0.14327869007510005,256,1,
short-0033,short,512,256,0.0,0.0864447676576674,53.75041464017704,69.7433320870623,0.06271732332111866,256,1,
short-0034,short,512,256,0.0,0.086567890830338,53.75573929678649,74.91021061688662,0.08295871105921619,256,1,
short-0035,short,512,256,0.0,0.08673727186396718,14.151980531867594,49.21294686989859,0.13749398563933724,256,1,
short-0036,short,512,256,0.0,0.08687164075672626,27.92803595494479,51.301954633090645,0.09166242618880728,256,1,
short-0037,short,512,256,0.0,0.08700256468728185,27.492599566001445,51.25860610790551,0.09320002565452573,256,1,
short-0038,short,512,256,0.0,0.08713124599307775,27.930665713734925,51.304123719688505,0.09166061963119052,256,1,
short-0039,short,512,256,0.0,0.08726291079074144,27.49245006404817,51.25851620500907,0.09320025937631726,256,1,
short-0040,short,512,256,0.0,0.08739117067307234,27.490335218142718,51.25674027111381,0.0932015884430239,256,1,
short-0041,short,512,256,0.0,0.08752315677702427,53.74797924794257,71.42959020426497,0.06933965080910746,256,1,
short-0042,short,512,256,0.0,0.0876596886664629,53.754736461210996,74.35567539837211,0.08078799583200438,256,1,
short-0043,short,512,256,0.0,0.08783811377361417,53.74873075308278,70.67350544501096,0.06637166545854188,256,1,
short-0044,short,512,256,0.0,0.08797351503744721,53.746547954622656,73.67836662195623,0.07816399477385715,256,1,
short-0045,short,512,256,0.0,0.08810653164982796,27.088257117196918,51.19744625594467,0.09454583975979511,256,1,
short-0046,short,512,256,0.0,0.08824079064652324,53.74869618238881,69.67203704500571,0.06244447397104665,256,1,
short-0047,short,512,256,0.0,0.08837524987757206,67.4452473889105,75.85036206385121,0.03296123401937531,256,1,
short-0048,short,512,256,0.0,0.08852305868640542,67.44519667420536,75.85168441617861,0.03296661859597353,256,1,
short-0049,short,512,256,0.0,0.08865319192409515,27.08780989376828,51.19613276887685,0.09454244264748458,256,1,
short-0050,short,512,256,0.0,0.0887986677698791,27.489107857923955,51.2563940891996,0.09320504404421823,256,1,
short-0051,short,512,256,0.0,0.08897231472656131,53.74805844714865,69.67423991393298,0.06245561359523266,256,1,
short-0052,short,512,256,0.0,0.08911633864045143,27.929108866024762,51.30160708911717,0.09165685577683297,256,1,
short-0053,short,512,256,0.0,0.0892572277225554,14.149720351211727,49.20684885699302,0.1374789353167894,256,1,
short-0054,short,512,256,0.0,0.08939247764647007,53.74773008003831,69.67247118102387,0.06244996510190414,256,1,
short-0055,short,512,256,0.0,0.0895327958278358,27.928787590004504,51.301849057897925,0.0916590645799742,256,1,
short-0056,short,512,256,0.0,0.08968117600306869,27.485415062867105,51.25429936265573,0.09321131097956323,256,1,
short-0057,short,512,256,0.0,0.0898267519660294,27.086731975898147,51.19511445891112,0.09454267640397244,256,1,
short-0058,short,512,256,0.0,0.08997173700481653,27.488029238767922,51.25430602300912,0.09320108542839686,256,1,
short-0059,short,512,256,0.0,0.09015275491401553,14.14866486703977,49.20972488401458,0.13749435300774435,256,1,
short-0060,short,512,256,0.0,0.09029027866199613,27.928300138097256,51.30121506936848,0.09165848992655383,256,1,
short-0061,short,512,256,0.0,0.09044099180027843,27.48954596882686,51.255473155062646,0.09319971445582662,256,1,
