t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0477,1784001119.728017,27.0,0.0,0.0,0.0,0.0,0.0
0.2978,1784001119.9558353,27.0,0.0,0.0,0.0,0.0,0.0
0.5479,1784001120.1897483,27.0,0.0,0.0,0.0,0.0,0.0
0.798,1784001120.496884,27.0,0.0,0.0,0.0,0.0,0.0
1.0481,1784001120.8067224,27.0,0.0,0.0,0.0,0.0,0.0
1.2981,1784001120.9600477,27.0,0.0,0.0,0.0,0.0,0.0
1.5482,1784001121.213049,27.0,0.0,0.0,0.0,0.0,0.0
1.7983,1784001121.4691958,27.0,0.0,0.0,0.0,0.0,0.0
2.0484,1784001121.7432473,27.0,0.0,0.0,0.0,0.0,0.0
2.2985,1784001121.9635463,27.0,0.0,0.0,0.0,0.0,0.0
2.5486,1784001122.2385318,27.0,0.0,0.0,0.0,0.0,0.0
2.7986,1784001122.6884608,27.0,0.0,0.0,0.0,0.0,0.0
3.1024,1784001122.8213747,27.0,0.0,0.0,0.0,0.0,0.0
3.3524,1784001123.0228345,27.0,0.40668055857929275,26.0,34.0,34.0,0.0
3.6025,1784001123.288913,27.0,0.4456815849220912,36.0,24.0,24.0,0.0
3.8526,1784001123.5938442,27.0,0.4456815849220912,36.0,24.0,24.0,0.0
4.1027,1784001123.8729966,27.0,0.4618542593226137,36.0,24.0,24.0,0.0
4.3527,1784001124.0225315,27.0,0.4618542593226137,36.0,24.0,24.0,0.0
4.6028,1784001124.2608979,27.0,0.4618542593226137,36.0,24.0,24.0,0.0
4.8529,1784001124.5639553,27.0,0.5262961465493111,50.0,10.0,10.0,0.0
5.103,1784001124.810081,27.0,0.5262961465493111,50.0,10.0,10.0,0.0
5.3531,1784001125.0333622,27.0,0.5374304108481324,60.0,0.0,0.0,0.0
5.6031,1784001125.2537155,27.0,0.5376792212235251,60.0,0.0,0.0,0.0
5.8532,1784001125.511349,27.0,0.5377725251142973,60.0,0.0,0.0,0.0
6.1033,1784001125.7940059,27.0,0.5392964886635773,60.0,0.0,0.0,0.0
6.3534,1784001126.1195874,27.0,0.5396075016328181,60.0,0.0,0.0,0.0
6.6035,1784001126.3147304,27.0,0.5408204522128572,60.0,0.0,0.0,0.0
6.8536,1784001126.573881,27.0,0.5414113768544149,60.0,0.0,0.0,0.0
7.1036,1784001126.8231888,27.0,0.5420023014959724,60.0,0.0,0.0,0.0
