t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0478,1784015697.537503,84.0,0.0,0.0,0.0,0.0,0.0
0.2979,1784015697.8028433,84.0,0.0,0.0,0.0,0.0,0.0
0.548,1784015698.0095854,84.0,0.0,0.0,0.0,0.0,0.0
0.7981,1784015698.2494988,84.0,0.0,0.0,0.0,0.0,0.0
1.0481,1784015698.5396757,84.0,0.0,0.0,0.0,0.0,0.0
1.2982,1784015698.7993343,84.0,0.0,0.0,0.0,0.0,0.0
1.5483,1784015699.0405889,84.0,0.0,0.0,0.0,0.0,0.0
1.7984,1784015699.2893836,84.0,0.0,0.0,0.0,0.0,0.0
2.0485,1784015699.5349457,84.0,0.0,0.0,0.0,0.0,0.0
2.2986,1784015699.7912354,84.0,0.0,0.0,0.0,0.0,0.0
2.5489,1784015700.049523,84.0,0.0,0.0,0.0,0.0,0.0
2.799,1784015700.6121721,84.0,0.0,0.0,0.0,0.0,0.0
3.2154,1784015700.705244,84.0,0.0,0.0,0.0,0.0,0.0
3.4655,1784015700.972555,84.0,0.017976549622119253,18.0,102.0,102.0,0.0
3.7156,1784015701.209935,84.0,0.0343358318041862,34.0,86.0,86.0,0.0
3.9657,1784015701.4519296,84.0,0.0343358318041862,34.0,86.0,86.0,0.0
4.2157,1784015701.7080138,84.0,0.05069511398625326,34.0,86.0,86.0,0.0
4.4658,1784015702.0023432,84.0,0.06655677541753491,34.0,86.0,86.0,0.0
4.7159,1784015702.2004623,84.0,0.06655677541753491,34.0,86.0,86.0,0.0
4.966,1784015702.4494889,84.0,0.06655677541753491,34.0,86.0,86.0,0.0
5.216,1784015702.7192032,84.0,0.08241843684881656,34.0,86.0,86.0,0.0
5.4661,1784015702.9643848,84.0,0.08241843684881656,34.0,86.0,86.0,0.0
5.7162,1784015703.198279,84.0,0.08241843684881656,34.0,86.0,86.0,0.0
5.9662,1784015703.5067346,84.0,0.09831119957702239,35.0,85.0,85.0,0.0
6.2163,1784015703.7031317,84.0,0.09831119957702239,35.0,85.0,85.0,0.0
