rid,cls,input_len,output_len,arrival_t,send_t,ttft,e2e,tpot,output_tokens,ok,error
long-0000,long,25000,512,0.05005277395942679,0.052016645204275846,7.844155620783567,80.66019735112786,0.1424971462433352,512,1,
long-0001,long,25000,512,0.10620692893767465,0.12401295499876142,38.041381226386875,82.26012592809275,0.0865337469700702,512,1,
long-0002,long,25000,512,0.11496935885050043,0.13377326307818294,45.4385541039519,84.57392868213356,0.07658586023127525,512,1,
long-0003,long,25000,512,0.04192987361036132,0.056971860118210316,11.964830290991813,80.97390155121684,0.1350471061843934,512,1,
long-0004,long,25000,512,0.03100322177975689,0.05878884205594659,5.804113555233926,80.48644691426307,0.14614938035035058,512,1,
long-0005,long,25000,512,0.10451121266848852,0.12274871906265616,34.9524339530617,82.16094286600128,0.09238455755956865,512,1,
long-0006,long,25000,512,0.027776514130434686,0.06026357924565673,9.936903768684715,80.81707243388519,0.1387087449416839,512,1,
long-0007,long,25000,512,0.0639550012236222,0.08209242299199104,27.654206943232566,81.9147348520346,0.10618498612290025,512,1,
long-0008,long,25000,512,0.11443126366531242,0.1323948190547526,63.54699544608593,86.35307560209185,0.044630293847369704,512,1,
long-0009,long,25000,512,0.10738685774123305,0.12678979523479939,22.905076580122113,81.64265587599948,0.11494633913087547,512,1,
long-0010,long,25000,512,0.11136993261824736,0.1309371772222221,43.09684131015092,82.40656749578193,0.07692705711473778,512,1,
long-0011,long,25000,512,0.09313141084899529,0.09796596504747868,32.52568106492981,82.116496946197,0.09704660642126652,512,1,
long-0012,long,25000,512,0.015770328440618583,0.061476119328290224,3.8079988416284323,80.33085561497137,0.1497511874233717,512,1,
long-0013,long,25000,512,0.11658473354736881,0.13535479828715324,65.74171809572726,86.42629787884653,0.04047862971256216,512,1,
long-0014,long,25000,512,0.06994422602640774,0.08466185629367828,25.25870971707627,81.82372339395806,0.11069474300759646,512,1,
long-0015,long,25000,512,0.06778243184304758,0.08340617222711444,20.675831039901823,81.55886131012812,0.11914487332725303,512,1,
long-0016,long,25000,512,0.10990961009051259,0.12845264934003353,40.54365134378895,82.33580530202016,0.08178503710025677,512,1,
long-0017,long,25000,512,0.09194525431268895,0.09666987229138613,30.03607784770429,82.02340169902891,0.10173644589300317,512,1,
long-0018,long,25000,512,0.02658891300290445,0.06262719817459583,15.540767895057797,81.2985596661456,0.12868452401387045,512,1,
long-0019,long,25000,512,0.011527675475968373,0.06370778428390622,18.36734751984477,81.45728165889159,0.12346366759108966,512,1,
short-0000,short,512,256,0.03761086360379711,0.06488515110686421,1.0634685731492937,57.63772848807275,0.22185984280362142,256,1,
short-0001,short,512,256,0.05954884526906743,0.06502272514626384,1.0634505162015557,57.63382295705378,0.22184459780726362,256,1,
short-0002,short,512,256,0.010606243163631002,0.06514804996550083,1.0642439373768866,57.63767157308757,0.22185657896357133,256,1,
short-0003,short,512,256,0.04292686318129019,0.0652681770734489,0.7384123471565545,57.61474117822945,0.22304442678852116,256,1,
short-0004,short,512,256,0.004106598744076788,0.06540556019172072,1.0640747770667076,57.63938992191106,0.22186398096017393,256,1,
short-0005,short,512,256,0.08540094153540057,0.08965263329446316,11.937055750750005,60.21503043780103,0.18932539092961187,256,1,
short-0006,short,512,256,0.07641589831491738,0.08654393395408988,13.305304801091552,60.9616117044352,0.18688747805232803,256,1,
short-0007,short,512,256,0.02356487031219498,0.06554645812138915,1.4362895148806274,57.695556838065386,0.22062457773797944,256,1,
short-0008,short,512,256,0.10096547666402744,0.12125366227701306,12.390088232699782,60.216133845970035,0.1875531200520402,256,1,
