t,wall,preemptions_total,kv_usage,running,waiting,waiting_capacity,waiting_deferred
0.0479,1783998289.7399137,13.0,0.0,0.0,0.0,0.0,0.0
0.298,1783998290.0075164,13.0,0.0,0.0,0.0,0.0,0.0
0.5481,1783998290.2879505,13.0,0.0,0.0,0.0,0.0,0.0
0.7981,1783998290.537081,13.0,0.0,0.0,0.0,0.0,0.0
1.0482,1783998290.8254054,13.0,0.0,0.0,0.0,0.0,0.0
1.2983,1783998291.042012,13.0,0.0,0.0,0.0,0.0,0.0
1.5484,1783998291.3406332,13.0,0.0,0.0,0.0,0.0,0.0
1.7984,1783998291.545057,13.0,0.0,0.0,0.0,0.0,0.0
2.0485,1783998291.7929146,13.0,0.0,0.0,0.0,0.0,0.0
2.2986,1783998292.0405924,13.0,0.0,0.0,0.0,0.0,0.0
2.5487,1783998292.3026774,13.0,0.0,0.0,0.0,0.0,0.0
2.7988,1783998292.6045456,13.0,0.0020526855969893454,2.0,0.0,0.0,0.0
3.0489,1783998292.8195996,13.0,0.018038752215967402,3.0,1.0,1.0,0.0
3.2989,1783998293.036808,13.0,0.018038752215967402,3.0,1.0,1.0,0.0
3.549,1783998293.2628784,13.0,0.0339626162410972,3.0,2.0,2.0,0.0
3.7991,1783998293.5777922,13.0,0.0339626162410972,3.0,2.0,2.0,0.0
4.0492,1783998293.7850342,13.0,0.04988648026622711,3.0,5.0,5.0,0.0
4.2993,1783998294.0351396,13.0,0.04988648026622711,3.0,5.0,5.0,0.0
4.5493,1783998294.294337,13.0,0.04988648026622711,3.0,5.0,5.0,0.0
4.7994,1783998294.588282,13.0,0.0658103442913569,6.0,11.0,11.0,0.0
5.0495,1783998294.776646,13.0,0.08179641091033496,6.0,15.0,15.0,0.0
5.2996,1783998295.037951,13.0,0.08179641091033496,6.0,15.0,15.0,0.0
5.5496,1783998295.2826314,13.0,0.09772027493546476,6.0,15.0,15.0,0.0
5.7997,1783998295.538254,13.0,0.09772027493546476,6.0,15.0,15.0,0.0
6.0498,1783998295.7604682,13.0,0.09772027493546476,6.0,15.0,15.0,0.0
6.2999,1783998296.0147521,13.0,0.11364413896059467,11.0,16.0,16.0,0.0
6.55,1783998296.3014143,13.0,0.11364413896059467,11.0,16.0,16.0,0.0
6.8,1783998296.551107,13.0,0.1296613068764968,11.0,25.0,25.0,0.0
7.0501,1783998296.8059273,13.0,0.1455851709016266,11.0,31.0,31.0,0.0
7.3002,1783998297.0460353,13.0,0.1455851709016266,11.0,31.0,31.0,0.0
7.5503,1783998297.29523,13.0,0.1455851709016266,11.0,31.0,31.0,0.0
7.8004,1783998297.5110831,13.0,0.1615090349267565,12.0,32.0,32.0,0.0
8.0505,1783998297.768113,13.0,0.1615090349267565,12.0,32.0,32.0,0.0
8.3005,1783998298.013518,13.0,0.17740179765496222,12.0,38.0,38.0,0.0
8.5506,1783998298.3011465,13.0,0.17740179765496222,12.0,38.0,38.0,0.0
8.8007,1783998298.5348206,13.0,0.19332566168009202,12.0,47.0,47.0,0.0
9.0508,1783998298.8007376,13.0,0.19332566168009202,12.0,47.0,47.0,0.0
9.3009,1783998299.051335,13.0,0.20931172829907008,18.0,46.0,46.0,0.0
9.5509,1783998299.2644935,13.0,0.20931172829907008,18.0,46.0,46.0,0.0
9.801,1783998299.5536613,13.0,0.20931172829907008,18.0,46.0,46.0,0.0
10.0511,1783998299.8147452,13.0,0.22535999751189628,18.0,54.0,54.0,0.0
10.3012,1783998300.0318148,13.0,0.241252760240102,18.0,62.0,62.0,0.0
10.5513,1783998300.2785976,13.0,0.241252760240102,18.0,62.0,62.0,0.0
10.8013,1783998300.5644944,13.0,0.241252760240102,18.0,62.0,62.0,0.0
11.0514,1783998300.782866,13.0,0.2571766242652319,19.0,65.0,65.0,0.0
11.3015,1783998301.0459766,13.0,0.2571766242652319,19.0,65.0,65.0,0.0
11.5515,1783998301.299083,13.0,0.27306938699343763,21.0,69.0,69.0,0.0
11.8016,1783998301.5774777,13.0,0.27306938699343763,21.0,69.0,69.0,0.0
12.0517,1783998301.8351538,13.0,0.2890243523154915,21.0,77.0,77.0,0.0
12.3018,1783998302.0528657,13.0,0.2890243523154915,21.0,77.0,77.0,0.0
12.5519,1783998302.3620863,13.0,0.3049482163406214,21.0,82.0,82.0,0.0
12.8019,1783998302.512925,13.0,0.3049482163406214,21.0,82.0,82.0,0.0
13.052,1783998302.7770824,13.0,0.3049482163406214,21.0,82.0,82.0,0.0
13.3021,1783998303.0449195,13.0,0.32084097906882714,22.0,84.0,84.0,0.0
